fecha	banda	reflec
2021-09-08	B04	0.3752666666666667
2021-09-08	B05	0.39876666666666666
2021-09-08	B06	0.39743333333333336
2021-09-08	B07	0.3953
2021-09-08	B08	0.41373333333333334
2021-09-08	B8A	0.3898666666666667
2021-09-08	B11	0.1639
2021-09-08	B12	0.16656666666666667
2021-09-13	B01	0.3634
2021-09-13	B02	0.30113333333333336
2021-09-13	B03	0.29519999999999996
2021-09-13	B04	0.2738
2021-09-13	B05	0.2918
2021-09-13	B06	0.3350666666666667
2021-09-13	B07	0.3582666666666667
2021-09-13	B08	0.3635333333333333
2021-09-13	B8A	0.3747
2021-09-13	B11	0.2719
2021-09-13	B12	0.22123333333333337
2021-09-18	B01	0.05216666666666667
2021-09-18	B02	0.0621
2021-09-18	B03	0.0828
2021-09-18	B04	0.06006666666666667
2021-09-18	B05	0.0817
2021-09-18	B06	0.06043333333333333
2021-09-18	B07	0.06783333333333334
2021-09-18	B08	0.07403333333333333
2021-09-18	B8A	0.0617
2021-09-18	B11	0.06213333333333334
2021-09-18	B12	0.04876666666666666
2021-09-23	B01	0.09156666666666669
2021-09-23	B02	0.0778
2021-09-23	B03	0.102
2021-09-23	B04	0.08713333333333333
2021-09-23	B05	0.11253333333333332
2021-09-23	B06	0.11296666666666667
2021-09-23	B07	0.11756666666666668
2021-09-23	B08	0.11626666666666668
2021-09-23	B8A	0.1201
2021-09-23	B11	0.09946666666666666
2021-09-23	B12	0.0799
2021-09-28	B01	0.9385
2021-09-28	B02	0.98
2021-09-28	B03	0.9970666666666668
2021-09-28	B04	1.0008
2021-09-28	B05	0.9780333333333332
2021-09-28	B06	0.9736666666666668
2021-09-28	B07	0.9714
2021-09-28	B08	1.0488
2021-09-28	B8A	0.9458333333333332
2021-09-28	B11	0.2123
2021-09-28	B12	0.24466666666666667
2021-10-03	B01	0.10283333333333332
2021-10-03	B02	0.10523333333333332
2021-10-03	B03	0.12566666666666668
2021-10-03	B04	0.11053333333333332
2021-10-03	B05	0.14413333333333334
2021-10-03	B06	0.15923333333333334
2021-10-03	B07	0.16373333333333331
2021-10-03	B08	0.19993333333333332
2021-10-03	B8A	0.15793333333333334
2021-10-03	B11	0.14626666666666668
2021-10-03	B12	0.09913333333333334
2021-10-08	B01	1.1915
2021-10-08	B02	1.1074666666666668
2021-10-08	B03	1.0189333333333332
2021-10-08	B04	0.9624
2021-10-08	B05	1.0028333333333332
2021-10-08	B06	0.9341
2021-10-08	B07	0.9194
2021-10-08	B08	0.888
2021-10-08	B8A	0.8915
2021-10-08	B11	0.5268
2021-10-08	B12	0.49633333333333335
2021-10-13	B01	0.40896666666666665
2021-10-13	B02	0.34226666666666666
2021-10-13	B03	0.3078
2021-10-13	B04	0.28573333333333334
2021-10-13	B05	0.3439
2021-10-13	B06	0.38243333333333335
2021-10-13	B07	0.4026
2021-10-13	B08	0.3724
2021-10-13	B8A	0.41556666666666664
2021-10-13	B11	0.27226666666666666
2021-10-13	B12	0.2883
2021-10-18	B01	0.02943333333333333
2021-10-18	B02	0.0267
2021-10-18	B03	0.0555
2021-10-18	B04	0.0343
2021-10-18	B05	0.05486666666666667
2021-10-18	B06	0.0313
2021-10-18	B07	0.03739999999999999
2021-10-18	B08	0.03286666666666667
2021-10-18	B8A	0.03406666666666667
2021-10-18	B11	0.03476666666666667
2021-10-18	B12	0.02506666666666666
2021-10-23	B01	1.1918
2021-10-23	B02	1.1008
2021-10-23	B03	1.0282666666666669
2021-10-23	B04	0.9706666666666668
2021-10-23	B05	0.9953
2021-10-23	B06	0.9474333333333332
2021-10-23	B07	0.9348666666666666
2021-10-23	B08	0.9266666666666666
2021-10-23	B8A	0.8898333333333334
2021-10-23	B11	0.17936666666666667
2021-10-23	B12	0.0968
2021-10-28	B01	0.03523333333333333
2021-10-28	B02	0.02423333333333333
2021-10-28	B03	0.05963333333333333
2021-10-28	B04	0.02996666666666667
2021-10-28	B05	0.0516
2021-10-28	B06	0.02463333333333333
2021-10-28	B07	0.03423333333333333
2021-10-28	B08	0.02163333333333333
2021-10-28	B8A	0.0256
2021-10-28	B11	0.03003333333333333
2021-10-28	B12	0.02246666666666666
2021-11-02	B01	0.0459
2021-11-02	B02	0.03033333333333333
2021-11-02	B03	0.07173333333333333
2021-11-02	B04	0.03973333333333333
2021-11-02	B05	0.05656666666666667
2021-11-02	B06	0.0316
2021-11-02	B07	0.03736666666666666
2021-11-02	B08	0.0318
2021-11-02	B8A	0.0302
2021-11-02	B11	0.03123333333333333
2021-11-02	B12	0.02273333333333333
2021-11-07	B01	0.33866666666666667
2021-11-07	B02	0.3792666666666667
2021-11-07	B03	0.34573333333333334
2021-11-07	B04	0.307
2021-11-07	B05	0.33126666666666665
2021-11-07	B06	0.3671333333333333
2021-11-07	B07	0.38306666666666667
2021-11-07	B08	0.4216
2021-11-07	B8A	0.3799
2021-11-07	B11	0.31456666666666666
2021-11-07	B12	0.27163333333333334
2021-11-12	B01	0.04666666666666667
2021-11-12	B02	0.0513
2021-11-12	B03	0.07116666666666667
2021-11-12	B04	0.05963333333333333
2021-11-12	B05	0.06556666666666666
2021-11-12	B06	0.04743333333333333
2021-11-12	B07	0.05413333333333333
2021-11-12	B08	0.05563333333333333
2021-11-12	B8A	0.05163333333333333
2021-11-12	B11	0.05453333333333333
2021-11-12	B12	0.04483333333333333
2021-11-17	B01	1.0843666666666667
2021-11-17	B02	1.0261333333333331
2021-11-17	B03	0.9365333333333332
2021-11-17	B04	0.8658666666666667
2021-11-17	B05	0.9257333333333332
2021-11-17	B06	0.8688
2021-11-17	B07	0.8481666666666666
2021-11-17	B08	0.8656
2021-11-17	B8A	0.8213666666666667
2021-11-17	B11	0.5402
2021-11-17	B12	0.4017333333333334
2021-11-22	B01	0.0578
2021-11-22	B02	0.0545
2021-11-22	B03	0.08943333333333334
2021-11-22	B04	0.0629
2021-11-22	B05	0.0886
2021-11-22	B06	0.07976666666666667
2021-11-22	B07	0.0845
2021-11-22	B08	0.0814
2021-11-22	B8A	0.0823
2021-11-22	B11	0.08316666666666667
2021-11-22	B12	0.0625
2021-11-27	B01	0.0762
