fecha	param	LR1	LR2	LR3	LT
2021-06-15	B03	0.5912	0.6012	0.6208	0.6324
2021-06-15	B04	0.5536	0.566	0.578	0.5992
2021-06-15	B05	0.5389	0.5675	0.5837	0.6144
2021-06-15	B06	0.5617	0.5783	0.5984	0.6272
2021-06-15	B07	0.5756	0.603	0.6176	0.6516
2021-06-15	B08	0.548	0.5672	0.582	0.6068
2021-06-15	B8A	0.5815	0.6116	0.6308	0.6523
2021-06-15	B11	0.4305	0.4473	0.4636	0.4973
2021-06-15	B12	0.3439	0.3604	0.3723	0.4048
2021-06-20	B01	0.0137	0.019	0.0275	0.0361
2021-06-20	B02	0.0171	0.0204	0.0231	0.06
2021-06-20	B03	0.0386	0.0383	0.0426	0.1028
2021-06-20	B04	0.0218	0.0236	0.023	0.1316
2021-06-20	B05	0.0322	0.0403	0.0418	0.1258
2021-06-20	B06	0.0143	0.0242	0.0285	0.0637
2021-06-20	B07	0.013	0.0214	0.0247	0.0667
2021-06-20	B08	0.0242	0.0225	0.0252	0.0593
2021-06-20	B8A	0.021	0.0194	0.0259	0.042
2021-06-20	B11	0.0161	0.0219	0.0252	0.0149
2021-06-20	B12	0.0117	0.0167	0.0196	0.0088
2021-06-25	B01	0.5485	0.6335	0.8172	1.0074
2021-06-25	B02	0.5248	0.6512	0.7596	0.8792
2021-06-25	B03	0.5332	0.6508	0.7552	0.8544
2021-06-25	B04	0.5324	0.624	0.7464	0.8456
2021-06-25	B05	0.5716	0.6561	0.7641	0.9189
2021-06-25	B06	0.6211	0.6932	0.7965	0.9052
2021-06-25	B07	0.6331	0.6963	0.8001	0.9022
2021-06-25	B08	0.6328	0.746	0.844	0.8672
2021-06-25	B8A	0.653	0.7117	0.8095	0.8936
2021-06-25	B11	0.5705	0.6488	0.7251	0.7078
2021-06-25	B12	0.5568	0.615	0.6871	0.5816
2021-06-30	B01	3e-4	0.0025	0.0022	0.0198
2021-06-30	B02	0.0033	0.0046	0.0019	0.0474
2021-06-30	B03	0.0228	0.022	0.0229	0.0874
2021-06-30	B04	0.0134	0.0131	0.0142	0.1178
2021-06-30	B05	0.0234	0.025	0.0255	0.1127
2021-06-30	B06	0.0069	0.0092	0.0099	0.0502
2021-06-30	B07	0.0023	0.0099	0.0109	0.0493
2021-06-30	B08	0.0065	0.0073	0.0052	0.0411
2021-06-30	B8A	0.0075	0.002	0.0059	0.0277
2021-06-30	B11	0.0137	0.0212	0.0151	0.013
2021-06-30	B12	0.0073	0.0143	0.0108	0.0093
2021-07-05	B01	0.9145	0.9064	0.8979	0.7061
2021-07-05	B02	0.8696	0.776	0.724	0.7744
2021-07-05	B03	0.8312	0.7604	0.7196	0.7144
2021-07-05	B04	0.814	0.7616	0.7564	0.6636
2021-07-05	B05	0.8234	0.7853	0.7959	0.6563
2021-07-05	B06	0.8027	0.8046	0.791	0.6428
2021-07-05	B07	0.7774	0.8151	0.7903	0.6253
2021-07-05	B08	0.8224	0.7588	0.7028	0.7144
2021-07-05	B8A	0.7545	0.83	0.7955	0.6249
2021-07-05	B11	0.687	0.6977	0.6908	0.5569
2021-07-05	B12	0.623	0.7084	0.6867	0.528
2021-07-10	B01	0.0357	0.0421	0.0391	0.3215
2021-07-10	B02	0.0393	0.037	0.0565	0.2624
2021-07-10	B03	0.0567	0.0587	0.0971	0.30620000000000003
2021-07-10	B04	0.0382	0.0383	0.0559	0.365
2021-07-10	B05	0.0413	0.0466	0.0556	0.4446
2021-07-10	B06	0.022	0.0279	0.0346	0.4928
2021-07-10	B07	0.029	0.0287	0.0349	0.514
2021-07-10	B08	0.0306	0.0255	0.1028	0.362
2021-07-10	B8A	0.0223	0.0299	0.0327	0.5122
2021-07-10	B11	0.0242	0.0364	0.0367	0.4672
2021-07-10	B12	0.0185	0.0215	0.0194	0.4747
2021-07-15	B01	0.1679	0.1475	0.1461	0.8895
2021-07-15	B02	0.1488	0.0957	0.132	0.768
2021-07-15	B03	0.139	0.1072	0.1408	0.7352
2021-07-15	B04	0.1166	0.0922	0.1314	0.7076
2021-07-15	B05	0.1459	0.1019	0.1481	0.7617
2021-07-15	B06	0.1731	0.123	0.1704	0.7295
2021-07-15	B07	0.1853	0.1285	0.1801	0.7247
2021-07-15	B08	0.1814	0.1186	0.1732	0.7056
2021-07-15	B8A	0.1965	0.1373	0.1827	0.6971
2021-07-15	B11	0.1727	0.1253	0.165	0.5293
2021-07-15	B12	0.1631	0.1136	0.1468	0.401
2021-07-20	B01	0.8792	0.8717	0.7936	1.3135
2021-07-20	B02	0.816	0.796	0.818	1.3536
2021-07-20	B03	0.7436	0.7448	0.7516	1.1896
2021-07-20	B04	0.7032	0.706	0.6924	1.0496
2021-07-20	B05	0.706	0.6964	0.6775	1.0394
2021-07-20	B06	0.6693	0.6696	0.6413	0.9708
2021-07-20	B07	0.6568	0.6581	0.623	0.9331
2021-07-20	B08	0.692	0.6744	0.694	1.076
2021-07-20	B8A	0.6344	0.6361	0.6069	0.8989
2021-07-20	B11	0.4879	0.487	0.4692	0.4798
2021-07-20	B12	0.4155	0.4294	0.3875	0.3195
2021-07-25	B01	0.0163	0.0197	0.0188	0.0374
2021-07-25	B02	0.0166	0.0169	0.0163	0.0524
2021-07-25	B03	0.0297	0.0314	0.0331	0.0907
2021-07-25	B04	0.0224	0.0254	0.0217	0.1026
2021-07-25	B05	0.0253	0.0292	0.0276	0.0975
2021-07-25	B06	0.0225	0.0187	0.0199	0.0388
2021-07-25	B07	0.0153	0.0223	0.0236	0.0432
2021-07-25	B08	0.0196	0.0197	0.0215	0.0401
2021-07-25	B8A	0.0174	0.0225	0.0241	0.035
2021-07-25	B11	0.0274	0.0271	0.0272	0.0303
2021-07-25	B12	0.0184	0.0221	0.0227	0.0247
2021-07-30	B01	0.0117	0.0178	0.0165	0.0342
